book,chapter,title,description,url
mrk,4,Mark 4,"Mark 4:1-20 Jesus Tells and Explains a Story of Farmer Sowing Seeds in the Field, Mark 4:21-25 Light of the Lamp, Mark 4:26-29 Jesus Tells a Story About a Seed, Mark 4:30-34 Jesus Tells a Story About a Mustard Seed, Mark 4:35-41 Jesus Stops a Storm",https://youtu.be/V6CDL8wTRWc
mrk,5,Mark 5,"Mark 5:1-20 Jesus Frees a Man From Evil Spirits, Mark 5:21-43 Jesus Gives Life to a Dead Girl and Heals a Sick Woman",https://youtu.be/RuWfTjQP7rc
mrk,6,Mark 6,"Mark 6:1-6 Jesus Goes to the Town He Lived, Mark 6:7-13 Jesus Sends His Apostles to Places in Twos, Mark 6:14-16 Herod Thinks Jesus is John the Baptizer, Mark 6:17-29 How John the Baptizer got Killed, Mark 6:30-44 Jesus Feeds more than 5000 People , Mark 6:45-52 Jesus Walks on Water , Mark 6:53-56 Jesus Heals Many Sick People",https://youtu.be/36b48SA9-Bg
mrk,7,Mark 7,"Mark 7:1-23 God's Law and People Laws are Different, Mark 7:24-30 Jesus Helps a Non-Jewish Woman, Mark 7:31-37 Jesus Heals a Deaf Man",https://youtu.be/QaAbMcbRiRA
mrk,8,Mark 8,"Mark 8:1-10 Jesus Feeds More than 4000 People , Mark 8:11-13 Pharisees Ask Jesus to Perform a Miracle , Mark 8:14-21 Jesus' Followers Misunderstand His Words , Mark 8:22-26 Jesus Heals a Blind Man in Bethsaida , Mark 8:27-30 Peter Knows Who Jesus Is , Mark 8:31-38 Jesus Tells His Followers that Son of Man Must Die",https://youtu.be/IUHpHG4jPsg
mrk,9,Mark 9,"Mark 9:1, Mark 9:2-13 Jesus with Moses and Elijah, Mark 9:14-29 Jesus Cast out an Evil Spirit from a Boy , Mark 9:30-32 Jesus Talks About His Death to His Followers , Mark 9:33-37 Who is the Greatest?, Mark 9:38-41 Whoever is not Against Jesus is With Him , Mark 9:42-50 Jesus Warns About Causes of Sin",https://youtu.be/OtMyztsq1Q8
mrk,10,Mark 10,"Mark 10:1-12 Jesus Teaches About Divorce , Mark 10:13-16 Jesus Blesses Children , Mark 10:17-32 A Rich Man Refuses to Follow Jesus, Mark 10:33-34 Jesus Talks Again About His Death to His Followers, Mark 10:35-45 James and John Ask for a Help, Mark 10:46-52 Jesus Heals a Blind Man",https://youtu.be/3DQfv04iyNU
mrk,11,Mark 11,"Mark 11:1-11 Jesus Enters Jerusalem Like a King, Mark 11:12-19 Jesus Curses a Fruitless Fig Tree, Mark 11:20-26 The Parable of Fig Tree and Faith, Prayer and Forgiveness, Mark 11:27-33 The Leading Priests, the Teachers of the Law and the Older Leaders Question Jesus' Authority",https://youtu.be/yN1Kx8Nsqjc
mrk,12,Mark 12,"Mark 12:1-12 Jesus Tells a Story about a Vineyard, Mark 12:13-17 Jesus Replies to Trick Question of Pharisees and Herodians, Mark 12:18-27 Some Sadducees Try to Trick Jesus, Mark 12:28-34 Which Command is the Most Important?, Mark 12:35-37 Messiah is not David's Son, Mark 12:38-40 Jesus Criticizes the Deeds of the Teachers of the Law, Mark 12:41-44 A Poor Widow's Offering to God",https://youtu.be/Y6bKm2F4Jsk
mrk,13,Mark 13,"Mark 13:1-23 Jesus Informs His Followers About the Future, Mark 13:24-37 Jesus Comes Again After These Things",https://youtu.be/rJYluX0CqY0
mrk,14,Mark 14,"Mark 14:1-2 Leading Priests and Teachers of the Law Plan to Kill Jesus, Mark 14:3-9 A Woman Honours Jesus, Mark 14:10-11 Leading Priests Offer Money to Judas to Hand Over Jesus, Mark 14:12-21 The Passover Meal, Mark 14:22-26 The Lord's Supper, Mark 14:27-31 Jesus Says to His Followers You will Leaves Me, Mark 14:32-42 Jesus Prays Alone, Mark 14:43-52 Jesus Is Arrested, Mark 14:53-65 The High Priest Questions Jesus, Mark 14:66-72 Peter Denies Jesus Thrice",https://youtu.be/zIOpAOrAhzc
mrk,15,Mark 15,"Mark 15:1-5 Governor Pilate Questions Jesus, Mark 15:6-20 Pilate Tries to Free Jesus, Mark 15:21-32 Jesus Is Nailed to a Cross, Mark 15:33-41 Jesus Dies, Mark 15:42-47 Jesus is Buried in the Tomb",https://youtu.be/6Q29YWyQ_0w
mrk,16,Mark 16,"Mark 16:1-8 Jesus Has Risen From Death, Mark 16:9-13 Some Followers See Jesus, Mark 16:14-18 Jesus Talks to His Followers, Mark 16:19-20 Jesus Goes Back to Heaven",https://youtu.be/Ie4sGhcUiTA
tit,1,Titus 1,Titus 1:1-16 Paul explains Titus's Responsibility in Crete Island,https://youtu.be/pcaZRtDZtaU
tit,2,Titus 2,Titus 2:1-15 Titus Must Teach the Word of God Truly to the Believer,https://youtu.be/CSlCD9QUciA
tit,3,Titus 3,Titus 3:1-15 How a Believer's Life Must Show Good Example to the People?,https://youtu.be/PU9mB_jwZI4
